title,date,publication,category,type,photo-link,url,image
A Montreal Museum Café Digs Into the Foods of the Jewish Diaspora,2019-12-18,Atlas Obscura ,articles,website,https://drive.google.com/file/d/1_N-8i5YuN2V2Wzjl0kjjoTgH62oBOQ-f/view?usp=sharing,https://www.atlasobscura.com/articles/jewish-food-in-montreal?fbclid=IwAR1xmqoKZC9rZGSZnZYdQ3I_LcGI847GaJ2ZmqlDR_G5SoduIlhp6aP7t4A,
Shimmying to Northern Soul At a Hidden Cocktail Bar in East London,2019-12-01,enRoute,articles,website,https://drive.google.com/file/d/1Bs_OScwYi2gH-asN_9KVgGfMQWElrvCY/view?usp=sharing,https://enroute.aircanada.com/en/article/northern-soul-london,soul-survivor-illustration.jpg
Chef Antonio Park's Guide to Sao Paolo,2019-10-25,enRoute,articles,website,https://drive.google.com/file/d/1dedlhIpnFeK-JXha-0SLQwlk0JqaqbxH/view?usp=sharing,https://enroute.aircanada.com/en/article/antonio-park-sao-paulo,antonio-park.png
How Outlaw Artist Orville Peck is Queering Country Music,2019-09-09,Xtra,articles,website,https://drive.google.com/file/d/1p8Gd0XakLlDMeSF-ZDImsi_9FNr5iNoq/view?usp=sharing,https://www.dailyxtra.com/how-outlaw-artist-orville-peck-is-queering-country-music-161821,orville-peck.jpg
Can Competition Be Good For Your Love Life?,2019-09-01,ELLE Canada,articles,website,https://drive.google.com/file/d/1rWvUjufYr4j36B5iOkafZamECDn0Rrv7/view?usp=sharing,https://www.ellecanada.com/life-and-love/can-competition-be-good-for-your-love-life/,ELLE-Canada-competition-in-love.jpg
New York's New Wave,2018-08-01,enRoute,articles,pdf,https://drive.google.com/file/d/1VJfYLUhpYwV4o0luRaYE9iMdwXxZDXQo/view?usp=sharing,https://drive.google.com/file/d/1drfLySRS1NGwqN36K8iKSErNymHtAD_0/view?usp=sharing,new-yorks-new-wave.png
Our Favourite Hotel Stays of 2018,2018-12-01,enRoute,articles,pdf,https://drive.google.com/file/d/19qjC4ZPAbwmvmQie9ZRc9Fdntq3eHwTj/view?usp=sharing,https://drive.google.com/file/d/1TVfY25oVdFFY488450H3h6wuzWsB6szu/view?usp=sharing,hotel-stays.png
French-Canadian Musician Hubert Lenoir Plays by His Own Rules,2019-08-09,enRoute,articles,website,https://drive.google.com/file/d/1Zu5sWw2hUPvJK4td3GThSBTg4Q90zcv2/view?usp=sharing,https://enroute.aircanada.com/en/article/french-canadian-musician-hubert-lenoir-plays-by-his-own-rules,hubert-lenoir-portrait.jpg
"Meet the Breizhgel, Brittany's Answer to Bagels",2019-03-01,enRoute,articles,website,https://drive.google.com/file/d/1RFiy7_4kc8q83toYrqdocMQnS9iz4A-2/view?usp=sharing,https://enroute.aircanada.com/en/article/meet-the-breizhgel-brittany-s-answer-to-bagels,breton-bakery-counter.jpg
Interview with Chef Marcus Samuelsson,2019-04-01,enRoute,articles,website,https://drive.google.com/file/d/1Xlt2j-4lDcj1WEhWHDO1l4aPc4tcZc5O/view?usp=sharing,https://enroute.aircanada.com/en/article/chef-marcus-samuelsson-on-the-lack-of-diversity-in-the-restaurant-industry,marcus-samuelsson.png
What Climate Change is Expected to Do to Victoria,2019-11-13,The Capital,articles,website,https://drive.google.com/file/d/1pUipKzb3KJ8hwMCN_BNC5BXFkDe3e93S/view?usp=sharing,https://www.capnews.ca/news/climate-change-victoria-damage-class-action,climate-change-victoria.jpg
Where the Wild Things Are,2018-10-01,enRoute,articles,pdf,https://drive.google.com/file/d/1uqxh1POKdYnHz9ZDZnM3fpQ_yCuBdqPj/view?usp=sharing,https://drive.google.com/file/d/1Vu7DYXNVFiDhBS-AtnkEA1LErTTupj5q/view?usp=sharing,wild-things-are.png
A Food Blogger Opens Her Bag,2018-11-01,enRoute,articles,pdf,https://drive.google.com/file/d/1KbTd8_EMs1L0YQ9uWBe7d0fYWXMsV_Mn/view?usp=sharing,https://drive.google.com/file/d/1NYpPPuoNbR5mGuPyyXjgbwhFyG8w6sYS/view?usp=sharing,food-blogger.png
A Performance Artist Opens Her Bag,2018-01-01,enRoute,articles,pdf,https://drive.google.com/file/d/1D1XG6ATCmrYTvDACmsNFBLUVkybb58HK/view?usp=sharing,https://drive.google.com/file/d/1HDM_10w9xnUGvqpEF8bzTlcweAOSHMRO/view?usp=sharing,performance-artist.png
Sole Mates,2018-12-01,enRoute,articles,pdf,https://drive.google.com/file/d/1injcTd1-dLUcl3We4bGrKGNqsyqr-OTy/view?usp=sharing,https://drive.google.com/file/d/1OfY6kKZJKiAYyNX7n0miVdjtv__E51u6/view?usp=sharing,sole-mates.png
The Bells That Still Can Ring,2018-09-26,Hazlitt,articles,website,https://drive.google.com/file/d/1DW-votvitRk_H8UhXdQSggcCDkUPq7Oy/view?usp=sharing,https://hazlitt.net/feature/bells-still-can-ring,montreal-cohen-main.jpg
Tour de Babel,2017-01-05,Maisonneuve Magazine,articles,website,https://drive.google.com/file/d/1NY8nXy37jhseGz6l85IH_bmrj5GLIAwt/view?usp=sharing,https://maisonneuve.org/article/2017/01/5/tour-de-babel/,KarstonSmith.jpg
This Montréal Jewish Bakery Doesn't Want to Be Called Modern,2015-09-30,Vice,articles,website,https://drive.google.com/file/d/1dD281mJObzadBdp4q_-rtZAdLwnLYAb4/view?usp=sharing,https://www.vice.com/en_us/article/9agzb7/this-montreal-jewish-bakery-doesnt-want-to-be-called-modern,hofkelsten_IMG_2040_featured.webp
"Step Inside The Temple of Grease, Where Breakfast Dreams Come True",2016-01-24,Vice,articles,website,https://drive.google.com/file/d/1tiC0ZYu9i9BUCY1lD1-LWTPD4bNUo0QF/view?usp=sharing,https://www.vice.com/en_us/article/z4g3e9/step-inside-the-temple-of-grease-where-breakfast-dreams-come-true,breakfast-heaven-sandwich-creation.webp
Maritime Quebec by Way of Craft Beer,2015-09-18,Paste Magazine,articles,website,https://drive.google.com/file/d/1a8BpK7cJw6Q6yM6mdUOE6KxeckfGG4i4/view?usp=sharing,https://www.pastemagazine.com/articles/2015/09/maritime-quebec-by-way-of-craft-beer.html,maritime-beer.png
Take Five: Montréal's Brewpubs,2016-01-18,Paste Magazine,articles,website,https://drive.google.com/file/d/1GY3K2Vrx_G4qlmsyIsaIzDhay2zIJ7Jv/view?usp=sharing,https://www.pastemagazine.com/articles/2016/01/take-five-montreals-brewpubs.html,montrealbeermain.jpg
Carnival by Rawi Hage,2012-12-11,Paste Magazine,articles,website,https://drive.google.com/file/d/1INcmmkmwZn9aLExVtB7Fyu3OaAlAYZZE/view?usp=sharing,https://www.pastemagazine.com/articles/2012/12/carnival-by-rawi-hage.html,carnivalsq.jpg
Plants turn a new leaf at the Montréal Vegan Festival,2017-11-06,Cult Montréal,articles,website,https://drive.google.com/file/d/1QbKxA8kGHZhH4G6cwTbBa_jY8DrYsZQU/view?usp=sharing,https://cultmtl.com/2017/11/montreal-vegan-festival/,vegan-fest.jpg
Adamo’s is doing wonders for the pizza-slice game,2016-03-26,Cult Montréal,articles,website,https://drive.google.com/file/d/1Um11Fttdx4RIi8Taj7SpOwRb0d6CzceG/view?usp=sharing,https://cultmtl.com/2016/03/adamos-pizza-montreal/,adamos.jpg
See how 6 Canadians took our cuisine abroad,2014-04-09,Cult Montréal,articles,website,https://drive.google.com/file/d/1WigPPOOGDSWfiuxNSI0fzJeX3AnTSbFT/view?usp=sharing,https://cultmtl.com/2014/04/canadian-cuisine-abroad/,Snack-Bar-Bkk-2-web.jpg
Why Get Married When None Of Your Friends Are Doing It?,2015-10-13,She Does The City,articles,website,https://drive.google.com/file/d/1muC2Be0F1n2Yp4EVz5znKK2TN1pcsiy9/view?usp=sharing,http://www.shedoesthecity.com/why-get-married-when-none-of-your-friends-are-doing-it,Why-get-married-when-none-of-your-friends-are-doing-it1.jpg
Día de los Muertos,2016-04-13,PotLuck Magazine,fiction,website,https://drive.google.com/file/d/16MDvNL32x3_0Jd4ecz3apoEJho4rjs1N/view?usp=sharing,http://potluckmag.com/april-2016/2016/4/13/da-de-los-muertos,dia-de-los-muertos.png
Death in the Midden,2013-04-01,carte blanche,translation,website,https://drive.google.com/file/d/1ZZxlZZcep020XE8qkeFY40LUS3Mz3iG4/view?usp=sharing,http://carte-blanche.org/articles/death-in-the-midden-chalifour/,midden.png
Preaching to the Fish,2011-01-01,Ambos,translation,website,https://drive.google.com/file/d/14_jr4lprLKHxegqHobLWk6rOwvwrbJbI/view?usp=sharing,http://ambos.ca/fish/,to-the-fish.jpg
The Multicoloured Album,2014-01-01,Ambos,translation,website,https://drive.google.com/file/d/1w5qbD7OYmiC6fLJ4_jeaua3RJqvjsdXw/view?usp=sharing,http://ambos.ca/album/,album-multicolore-louise-dupre-ambos-quebec-literature-translation-cover.jpg
Nina,2012-01-01,Ambos,translation,website,https://drive.google.com/file/d/1OMpXDH3-mtlcl-iKkljKyb61uXA1TEie/view?usp=sharing,http://ambos.ca/nina/,nina-patrice-lessard-ambos-quebec-literature-translation-cover2.jpg
Spaces,2012-01-01,Ambos,translation,website,https://drive.google.com/file/d/1gG2WYnKHLCgCpWL8hVTWxH0ns7mqyFiS/view?usp=sharing,http://ambos.ca/spaces/,Espaces-cover1.jpg